number	number	number	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2
76	6	1	"[[19001,5000,6],[18003,10000,1],[11096,5000,3]]"	"[[19001,5000,6],[18003,10000,2],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,2],[11095,5000,3]]"	"[[19002,5000,6],[18003,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11094,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11093,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11092,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11091,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
77	6	1	"[[19001,5000,6],[18003,10000,1],[11096,5000,3]]"	"[[19001,5000,6],[18003,10000,2],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,2],[11095,5000,3]]"	"[[19002,5000,6],[18003,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11094,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11093,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11092,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11091,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
78	6	1	"[[19001,5000,6],[18003,10000,1],[11096,5000,3]]"	"[[19001,5000,6],[18003,10000,2],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,2],[11095,5000,3]]"	"[[19002,5000,6],[18003,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11094,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11093,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11092,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11091,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
79	6	1	"[[19001,5000,6],[18003,10000,1],[11096,5000,3]]"	"[[19001,5000,6],[18003,10000,2],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,2],[11095,5000,3]]"	"[[19002,5000,6],[18003,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11094,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11093,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11092,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11091,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
80	6	1	"[[19001,5000,6],[18003,10000,1],[11106,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11105,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11104,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11103,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11102,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11101,5000,3]]"	"[[19005,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
81	6	1	"[[19001,5000,6],[18003,10000,1],[11106,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11105,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11104,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11103,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11102,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11101,5000,3]]"	"[[19005,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
82	6	1	"[[19001,5000,6],[18003,10000,1],[11106,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11105,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11104,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11103,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11102,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11101,5000,3]]"	"[[19005,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
83	6	1	"[[19001,5000,6],[18003,10000,1],[11106,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11105,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11104,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11103,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11102,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11101,5000,3]]"	"[[19005,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
84	6	1	"[[19001,5000,6],[18003,10000,1],[11106,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11105,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11104,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11103,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11102,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11101,5000,3]]"	"[[19005,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
85	6	1	"[[19001,5000,6],[18004,10000,1],[11106,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11105,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11104,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11103,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11102,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11101,5000,3]]"	"[[19005,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
86	6	1	"[[19001,5000,6],[18004,10000,1],[11106,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11105,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11104,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11103,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11102,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11101,5000,3]]"	"[[19005,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
87	6	1	"[[19001,5000,6],[18004,10000,1],[11106,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11105,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11104,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11103,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11102,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11101,5000,3]]"	"[[19005,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
88	6	1	"[[19001,5000,6],[18004,10000,1],[11106,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11105,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11104,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11103,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11102,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11101,5000,3]]"	"[[19005,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
89	6	1	"[[19001,5000,6],[18004,10000,1],[11106,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11105,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11104,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11103,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11102,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11101,5000,3]]"	"[[19005,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
90	6	1	"[[19001,5000,6],[18004,10000,1],[11116,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11115,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11114,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11113,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11112,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19005,5000,6],[18004,10000,2],[11111,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
91	6	1	"[[19001,5000,6],[18004,10000,1],[11116,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11115,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11114,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11113,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11112,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19005,5000,6],[18004,10000,2],[11111,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
92	6	1	"[[19001,5000,6],[18004,10000,1],[11116,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11115,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11114,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11113,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11112,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19005,5000,6],[18004,10000,2],[11111,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
93	6	1	"[[19001,5000,6],[18004,10000,1],[11116,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11115,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11114,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11113,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11112,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19005,5000,6],[18004,10000,2],[11111,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
94	6	1	"[[19001,5000,6],[18004,10000,1],[11116,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11115,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11114,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11113,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11112,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19005,5000,6],[18004,10000,2],[11111,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
95	6	1	"[[19001,5000,6],[18004,10000,1],[11116,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11115,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11114,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11113,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11112,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11111,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
96	6	1	"[[19001,5000,6],[18004,10000,1],[11116,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11115,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11114,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11113,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11112,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11111,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
97	6	1	"[[19001,5000,6],[18004,10000,1],[11116,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11115,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11114,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11113,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11112,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11111,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
98	6	1	"[[19001,5000,6],[18004,10000,1],[11116,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11115,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11114,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11113,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11112,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11111,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
99	6	1	"[[19001,5000,6],[18004,10000,1],[11116,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11115,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11114,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11113,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11112,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11111,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
100	6	1	"[[19001,5000,6],[18004,10000,1],[11126,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11125,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11124,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11123,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11122,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11121,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
